Deutsch;Englisch;Daari;Ukrainisch;arabisch
Der Frisör ist sehr teuer.;The hair stylist is very expensive.;آرایشگاه بسیار گران است.;Перукарня дуже дорога.;مصفف الشعر مكلف للغاية.
Ich trinke einen Kaffee im cafe.;I drink one coffee in the cafe.;در کافه قهوه می نوشم.;Я п'ю каву в кафе.;أشرب القهوة في المقهى.
Das Restaurant hat gutes Essen.;the restaurant has good food.;رستوران غذاهای خوبی دارد.;В ресторані хороша кухня.;المطعم ذو طعام جيد.
Es gibt nur Süßigkeiten in dem Geschäft.;There are only sweets in this store.;در مغازه فقط شیرینی وجود دارد.;У магазині тільки солодощі.;لا يوجد سوى الحلويات في المحل.
Die Kinder mögen kein Gemüse.;the children dont like vegetables.;بچه ها سبزیجات دوست ندارند.;Діти не люблять овочів.;الأطفال لا يحبون الخضار.
Ich möchte eine Aubergine bitte.;I want one eggplant please.;من یک بادمجان می خواهم لطفا.;Я хотів би баклажани, будь ласка.;أريد الباذنجان من فضلك.
Magst du keine Paprika?;You dont like paprika?;فلفل دوست نداری؟;Ви не любите перець?;ألا تحب الفلفل؟
Ich esse Spinat mit Reis.;I eat spinach with rice.;من اسفناج با برنج میخورم;Я їм шпинат з рисом.;أنا آكل السبانخ مع الأرز.
Wir kochen Bohnen mit Kartoffeln und Soße.;We cook beans with potatoes and sauce.;لوبیا رو با سیب زمینی و سس میپزیم.;Готуємо квасолю з картоплею і соусом.;نحن نطبخ الفاصوليا مع البطاطس والصلصة.
Geben sie mir bitte ein Kilo Erbsen.;Give me a kilogramm of peas please.;لطفا یک کیلو نخود به من بدهید.;Дайте, будь ласка, кілограм гороху.;من فضلك أعطني كيلو من البازلاء.
Die Karotten kosten zwei Euro das Kilo.;The carots cost two euros per kilo.;قیمت هر کیلو هویج دو یورو است.;Морква коштує два євро за кілограм.;ويبلغ سعر الجزر 2 يورو للكيلو.
Ich kaufe Mais aus der Dose.;I buy corn out of the can.;من کنسرو ذرت می خرم.;Купую консервовану кукурудзу.;أشتري الذرة المعلبة.
Die Kartoffeln sind verfault.;The potatoes are rotten.;سیب زمینی ها گندیده اند.;Картопля гнила.;البطاطس فاسدة.
Die Tomaten kommen aus Deutschland.;The tomatoes come from Germany.;گوجه فرنگی از آلمان می آید.;Помідори родом з Німеччини.;الطماطم تأتي من ألمانيا.
Ich möchte nur eine Gurke bitte.;I want just one cucumber please.;من فقط یک خیار می خواهم لطفا;Я просто хочу огірок, будь ласка.;أريد فقط خيارة من فضلك.
Die Frau schneidet die Zwiebel in das Essen.;The woman cuts the onion into the meal.;زن پیاز را داخل غذا می کند.;Жінка нарізає цибулю в їжу.;تقطع المرأة البصل إلى الطعام.
Ich esse keine Zucchini.;I dont eat Zucchini.;من کدو سبز نمیخورم;Я не їм кабачок.;أنا لا آكل الكوسة.
Der Mann kocht eine Pilzsoße.;The man cooks a mushroom sauce.;مرد در حال پختن سس قارچ است.;Чоловік готує грибний соус.;الرجل يطبخ صلصة الفطر.
Geben sie einhundert Gramm Nüsse in den Salat.;Add one hundred gramms of nuts to the salad.;صد گرم آجیل را به سالاد اضافه کنید.;Додайте в салат сто грамів горіхів.;أضف مائة جرام من المكسرات إلى السلطة.
Ich möchte keinen Salat bitte.;I dont want salad please.;من سالاد نمی خوام لطفا;Я не хочу салат, будь ласка.;لا أريد سلطة من فضلك.
Der Geldautomat gibt kein Geld aus.;The cash machine doesn't give out money.;دستگاه خودپرداز پول نمی دهد.;Банкомат не видає гроші.;أجهزة الصراف الآلي لا توزع المال.
Heute sind Erdbeeren im Angebot.;Strawberries are on offer today.;توت فرنگی امروز به فروش می رسد.;Сьогодні в продажу полуниця.;الفراولة معروضة للبيع اليوم.
Welchen Preis haben die Tomaten?;Which price do the tomatoes have?;قیمت گوجه فرنگی چقدر است؟;Скільки коштують помідори?;كم تكلفة الطماطم؟
Der Kunde bezahlt an der Kasse.;The customer pays at the cashier.;مشتری در صندوق پرداخت می کند.;Клієнт оплачує на касі.;يدفع العميل عند الخروج.
In meiner Geldbörse sind hundert Euro.;There are 100 euros in my purse.;در کیف پول من صد یورو هست.;У моєму гаманці сто євро.;هناك مائة يورو في محفظتي.
Ich habe meinen Ausweis in der Brieftasche.;I have my identity card in my wallet.;من شناسنامه ام را در کیفم دارم.;У мене в гаманці є посвідчення особи.;لدي هويتي في محفظتي.
Die Rechnung kommt später.;The bill comes later.;صورت حساب بعدا میاد;Рахунок буде пізніше.;سيأتي مشروع القانون في وقت لاحق.
Schreiben sie bitte ihre Kontonummer auf.;Please write down your account number.;لطفا شماره حساب خود را بنویسید;Будь ласка, запишіть номер свого рахунку.;يرجى كتابة رقم حسابك.
Meine Bankleitzahl ist auf dem Formular.;My bank code is on the form.;شماره مسیریابی بانک من در فرم موجود است.;Номер мого банку вказано на формі.;رقم توجيه البنك الخاص بي موجود في النموذج.
Ich zahle mit Kreditkarte.;I pay with creditcard.;من با کارت اعتباری پرداخت می کنم.;Плачу кредитною карткою.;أنا أدفع عن طريق بطاقة الائتمان.
ich habe das Geld in meiner Geldbörse;I have the money in my purse.;من پول را در کیفم دارم;У мене в гаманці гроші;لدي المال في محفظتي
In Deutschland zahlen sie mit Euros.;in Germany you pay with euros.;در آلمان با یورو پرداخت می شود.;У Німеччині ви платите євро.;في ألمانيا تدفع باليورو.
Haben sie noch zehn Cent?;Do you have another ten cents?;ده سنت مونده؟;У вас залишилося десять центів?;هل تبقى لديك عشرة سنتات؟
Mein Geld ist auf der Bank.;My money is in the bank.;پول من در بانک است.;Мої гроші в банку.;أموالي في البنك.
Ich mag meine Mutter gerne.;I like my mother.;من مادرم را دوست دارم.;Мені подобається моя мама.;أنا أحب والدتي.
Die meisten Zitronen sind sauer.;Most lemons are sour.;بیشتر لیموها اسیدی هستند.;Більшість лимонів кислі.;معظم الليمون حمضي.
Natürlich möchte ich Milch in meinen Kaffee.;Of course I want milk in my coffee.;البته من در قهوه ام شیر می خواهم.;Звичайно, я хочу молока в каву.;بالطبع أريد الحليب في قهوتي.
Ich mag das nicht.;I don`t like that.;من آن را دوست ندارم.;мені це не подобається;أنا لا أحب ذلك.
Ich nehme noch einen Kaffee.;I take one more coffee.;یه قهوه دیگه میخورم;Я вип'ю ще кави.;سآخذ قهوة أخرى.
Ich habe nur zwei Euro.;I have only two euros.;من فقط دو یورو دارم.;У мене лише два євро.;ليس لدي سوى اثنين يورو.
Der Supermarkt ist zu.;The supermarket is closed.;سوپرمارکت بسته است;Супермаркет закритий.;السوبر ماركت مغلق.
Die Flasche ist auf.;The bottle is open.;بطری باز است.;Флакон відкритий.;الزجاجة مفتوحة.
Ich möchte Mineralwasser aus der Flasche.;I want mineral water out of the bottle.;من آب معدنی بطری می خواهم.;Я хочу бутильовану мінеральну воду.;أريد مياه معدنية معبأة في زجاجات.
Ab zwei Kilo kosten die Tomaten nur zwei Euro.;starting with two kilos tomatoes cost two euros;از دو کیلو به بعد قیمت گوجه فرنگی فقط دو یورو است.;Від двох кілограмів помідори коштують лише два євро.;ومن كيلوغرامين فما فوق، تكلف الطماطم 2 يورو فقط.
Er verkauft aber kein Brot.;But he does not sell bread.;اما نان نمی فروشد.;Але він не продає хліб.;لكنه لا يبيع الخبز.
Die Nudeln sind da.;The noodles are there.;رشته فرنگی اینجاست.;Локшина тут.;الشعرية هنا.
Sie nimmt doch zwei Kilo Tomaten.;She takes yet two kilogramm of tomatoes.;دو کیلو گوجه می گیرد.;Вона бере два кілограми помідорів.;تأخذ كيلوغرامين من الطماطم.
Es ist egal.;it does not matter.;مهم نیست.;Це не важливо.;لا يهم.
